grid_id,zone,zone_source,osm_industrial_share,coj_industrial_matches,coj_residential_matches,coj_evidence_n,coj_industrial_purity
JNB0307,industrial,osm_industrial_share_ge_0.03,0.41786901869051,0,0,0,0.0
JNB0308,industrial,osm_industrial_share_ge_0.03,0.5233940593468897,0,0,0,0.0
JNB0309,residential,residential_fallback,0.0039721819054057686,0,0,0,0.0
JNB0310,industrial,osm_industrial_share_ge_0.03,0.1692183987878476,0,0,0,0.0
JNB0311,industrial,osm_industrial_share_ge_0.03,0.34178481664655597,0,0,0,0.0
JNB0312,residential,residential_fallback,0.0,0,0,0,0.0
JNB0313,residential,residential_fallback,0.0,0,0,0,0.0
JNB0314,residential,residential_fallback,6.0067042440131995e-05,0,0,0,0.0
JNB0315,industrial,osm_industrial_share_ge_0.03,0.22437311256746237,0,0,0,0.0
JNB0316,residential,residential_fallback,0.0005267173474222373,0,0,0,0.0
JNB0317,residential,residential_fallback,0.0,0,0,0,0.0
JNB0318,residential,residential_fallback,0.0,0,0,0,0.0
JNB0319,industrial,osm_industrial_share_ge_0.03,0.08657690656694861,0,0,0,0.0
JNB0320,industrial,osm_industrial_share_ge_0.03,0.10586438386699465,0,2,2,0.0
JNB0321,residential,residential_fallback,0.0,0,23,23,0.0
JNB0322,residential,residential_fallback,0.0,0,9,9,0.0
JNB0323,residential,residential_fallback,0.0,0,22,22,0.0
JNB0324,residential,residential_fallback,0.0,0,53,53,0.0
JNB0325,residential,residential_fallback,0.002537723141757396,0,26,26,0.0
JNB0326,residential,residential_fallback,0.0,0,3,3,0.0
JNB0327,residential,residential_fallback,0.0,0,0,0,0.0
JNB0328,residential,residential_fallback,0.013155313721202011,0,0,0,0.0
JNB0329,residential,residential_fallback,0.0,0,0,0,0.0
JNB0330,residential,residential_fallback,0.0,0,0,0,0.0
JNB0331,residential,residential_fallback,0.0,0,0,0,0.0
JNB0332,residential,residential_fallback,0.0,0,0,0,0.0
JNB0333,residential,residential_fallback,0.0,0,0,0,0.0
JNB0334,residential,residential_fallback,0.0,0,0,0,0.0
JNB0335,residential,residential_fallback,0.0,0,0,0,0.0
JNB0336,residential,residential_fallback,0.0,0,0,0,0.0
JNB0337,residential,residential_fallback,0.0,0,0,0,0.0
JNB0338,residential,residential_fallback,0.0,0,0,0,0.0
JNB0339,residential,residential_fallback,0.0,0,2,2,0.0
JNB0340,residential,residential_fallback,0.0,0,11,11,0.0
JNB0341,residential,residential_fallback,0.0,0,66,66,0.0
JNB0342,residential,residential_fallback,0.0,0,102,102,0.0
